publishedAt,title,risk_score,entities,source,url,description
2025-10-31T07:14:10Z,"Europe braces, Honda halts output in widening Nexperia crisis",3,"['China (GPE)', 'Honda (ORG)', 'Europe (LOC)', 'Netherlands (GPE)', 'Nexperia (GPE)']",Digitimes,https://www.digitimes.com/news/a20251030VL218/nexperia-europe-honda-production-vehicle.html,"A deepening dispute over Nexperia, the China-backed semiconductor maker based in the Netherlands, has triggered a fresh global supply chain crisis for the auto industry. Following a Dutch government intervention that froze exports of its China-made chips, Eur…"
2025-10-31T00:00:00Z,"Slimboy flat: Apple, Samsung slow production, offer discounts, halt launches as lightweight models fail to get off the ground",3,"['Apple (ORG)', ""the iPhone Air— Apple's (ORG)"", 'Samsung (ORG)']",The Times of India,https://economictimes.indiatimes.com/industry/cons-products/electronics/slimboy-flat-apple-samsung-slow-production-offer-discounts-halt-launches-as-lightweight-models-fail-to-get-off-the-ground/articleshow/124968586.cms,"Retailers ET spoke to said initially, the iPhone Air— Apple's thinnest smartphone ever—contributed about 8-10% of the latest iPhone 17 series sales. The share however subsequently slipped to 2-3% during the peak festive period at a time when smartphone demand…"
2025-10-31T08:00:00Z,"Whether the target is drugs or Maduro, U.S. could be hindering its own military with deadly boat strikes",2,"['Pentagon (ORG)', 'Latin America (LOC)', 'U.S. (GPE)', 'Maduro (ORG)']",CBC News,https://www.cbc.ca/news/world/us-hegseth-three-deadly-boat-strikes-pacific-9.6959714,"An anonymous Pentagon employee and a retired air force colonel are expressing concerns this week that the U.S. focus on alleged drug-carrying boats in waters near Latin America could affect American military might around the world, and serve as a precedent fo…"
2025-10-31T06:01:22Z,"Samsung Strikes a Crucial Deal with NVIDIA For Next-Gen HBM4 AI Memory, Validating Its Process as the Industry’s Fastest With 11 Gbps Speeds",2,"['Surpass JEDEC Processing Speed Standards, Leading (ORG)', 'AI (GPE)', 'Samsung (ORG)', 'HBM4 Modules Manage (ORG)']",Wccftech,https://wccftech.com/samsung-strikes-a-crucial-deal-with-nvidia-for-next-gen-hbm4-ai-memory/,"Samsung has secured a crucial 'HBM4 supply' deal with NVIDIA, as both firms announce their collaboration on cutting-edge technologies to drive the AI hype. Samsung's HBM4 Modules Manage to Surpass JEDEC Processing Speed Standards, Leading to a Pivotal Adoptio…"
2025-10-31T02:20:30Z,China's rare earth export delay offers US chance to weaken Beijing's grip on market,2,"['China (GPE)', 'US (GPE)', 'Beijing (GPE)']",The Times of India,https://economictimes.indiatimes.com/news/international/world-news/chinas-rare-earth-export-delay-offers-us-chance-to-weaken-beijings-grip-on-market/articleshow/124980133.cms,China's pause on new rare earth export curbs provides a year for the US and its allies. This allows them to strengthen their own production and processing. Investments are being made in domestic rare earth industries. Efforts are underway to diversify supply …
2025-10-31T00:30:06Z,This Pune firm cracks rare earth code—but India’s magnet shortage persists,2,['India (GPE)'],Livemint,https://www.livemint.com/industry/ashvini-magnets-rare-earth-code-magnet-shortage-vikram-dhoot-neodymium-praseodymium-china-barc-irel-japan-evs-11761829353952.html,"The firm has launched India's first rare earth metals plant, producing 15 tonnes monthly. This step supports self-reliance in critical materials but highlights India's reliance on imports for high-powered magnets.&nbsp;"
2025-10-31T04:32:04Z,"China's Xi urges Asian nations to keep supply chains stable, work together during ‘turbulent’ times",2,"['China (GPE)', 'Xi (ORG)', 'U.S. (GPE)', 'Asia-Pacific (LOC)']",Biztoc.com,https://biztoc.com/x/dd85275c4ce84ab0,"A day after securing a deal for rollback of U.S. tariffs, Chinese President Xi Jinping called on Asia-Pacific countries to support free trade, and maintain supply chain stability.
""The more turbulent the times, the more we must work together,"" Xi said in a Ch…"
2025-10-31T06:41:59Z,Top India solar exporter rejigs supply chain to bypass US tariff,2,"['US (GPE)', 'India (GPE)']",The Times of India,https://economictimes.indiatimes.com/industry/renewables/waaree-energies-top-india-solar-exporter-rejigs-supply-chain-to-bypass-us-trump-tariff/articleshow/124986778.cms,"India's top solar maker, Waaree Energies, is reconfiguring its supply chain to bypass steep US import tariffs. The company is sourcing solar cells from countries with low export tariffs to the US, aiming to continue supplying its largest market. This strategy…"
2025-10-31T06:00:33Z,Top India Solar Exporter Rejigs Supply Chain to Bypass US Tariff,2,"['Top India Solar (ORG)', 'Bypass US Tariff (ORG)']",Biztoc.com,https://biztoc.com/x/f6fc09be883ec073,
2025-10-31T07:36:22Z,China’s Xi defends multilateralism at APEC after striking deal with Trump,2,"['Trump (ORG)', 'China (GPE)', 'US (GPE)', 'APEC (ORG)']",Al Jazeera English,https://www.aljazeera.com/news/2025/10/31/chinas-xi-defends-multilateralism-at-apec-after-striking-deal-with-trump,Beijing is positioning itself as defender of free trade as US tariffs disrupt global economy and Trump skips summit.
2025-10-30T23:29:53Z,세부 사항 부족과 미중 합의 확실성,2,"['US (GPE)', 'summit.@EngleTV (ORG)']",Tistory.com,https://ryueyes11.tistory.com/511955,"US President Donald Trump and Chinese President Xi Jinping agreed to extend a tariff truce, roll back export controls and reduce other trade barriers in a landmark summit.@EngleTV outlines the key outcomes from the meeting https://t.co/QI4JVcQj9i pic.twitter.…"
2025-10-31T11:00:00Z,"Frozen Dessert Market Size to be Worth USD 198.20 Billion by 2034, Driven by Health Trends, Innovation, and Regional Growth",0,"['Driven by Health Trends, Innovation (ORG)', 'Worth USD 198.20 Billion (ORG)']",GlobeNewswire,https://www.globenewswire.com/news-release/2025/10/31/3178222/0/en/Frozen-Dessert-Market-Size-to-be-Worth-USD-198-20-Billion-by-2034-Driven-by-Health-Trends-Innovation-and-Regional-Growth.html,"According to Towards FnB, the global frozen dessert market size is calculated at USD 136.87 billion in 2025 and is anticipated to surge USD 198.20 billion by 2034, reflecting at a CAGR of 4.2% from 2025 to 2034. The industry’s growth is primarily driven by te…"
2025-10-31T11:00:00Z,September 2025 Quarterly Activities Report,0,[],GlobeNewswire,https://www.globenewswire.com/news-release/2025/10/31/3178226/0/en/September-2025-Quarterly-Activities-Report.html,September Quarterly Activities Report......
2025-10-31T10:59:50Z,"ICEA, GSA forge strategic partnership to boost India's global semiconductor role",0,"['the Global Semiconductor Alliance (ORG)', 'the India Cellular and Electronics Association (ORG)', 'GSA (ORG)', 'India (GPE)']",The Times of India,https://economictimes.indiatimes.com/industry/cons-products/electronics/icea-gsa-forge-strategic-partnership-to-boost-indias-global-semiconductor-role/articleshow/124992395.cms,India is poised for a semiconductor revolution as the India Cellular and Electronics Association teams up with the Global Semiconductor Alliance. This strategic alliance is set to weave India into the fabric of the global semiconductor supply chain. By promot…
2025-10-31T10:31:37Z,"Shreeji Global FMCG IPO to open on Nov 4, raise ₹85 cr",0,['IPO (ORG)'],BusinessLine,https://www.thehindubusinessline.com/markets/shreeji-global-fmcg-ipo-to-open-on-nov-4-raise-85-cr/article70225075.ece,"Shreeji Global FMCG's IPO opens on Nov 4, aiming to raise ₹85 crore with shares priced at ₹120-₹125."
2025-10-31T10:06:04Z,The great AI buildout shows no sign of slowing,0,['Nvidia (ORG)'],CNA,https://www.channelnewsasia.com/business/great-ai-buildout-shows-no-sign-slowing-5437776,"A momentous week in the technology sector made it clear there is no sign the boom in building artificial intelligence infrastructure is slowing — despite the bubble talk.Nvidia, whose processors are the AI revolution's backbone, became the first company to su…"
2025-10-31T10:00:00Z,Cenovus announces third-quarter 2025 results,0,"['Cenovus Energy Inc. (ORG)', 'Cenovus (ORG)', 'CALGARY (GPE)', 'CVE (ORG)', 'GLOBE NEWSWIRE (ORG)', 'TSX (ORG)', 'NYSE (ORG)', 'Alberta (GPE)']",GlobeNewswire,https://www.globenewswire.com/news-release/2025/10/31/3178198/0/en/Cenovus-announces-third-quarter-2025-results.html,"CALGARY, Alberta, Oct. 31, 2025 (GLOBE NEWSWIRE) -- Cenovus Energy Inc. (TSX: CVE) (NYSE: CVE) today announced its third-quarter 2025 financial and operating results. The company generated approximately $2.1 billion in cash from operating activities, $2.5 bil…"
2025-10-31T10:09:25Z,UPSC Quiz – 2025 : IASbaba’s Daily Current Affairs Quiz 31st October 2025,0,"['IASbaba’s Daily Current Affairs (ORG)', 'Previous Daily Quiz (ORG)']",Iasbaba.com,https://iasbaba.com/2025/10/upsc-quiz-2025-iasbabas-daily-current-affairs-quiz-31st-october-2025/,"For Previous Daily Quiz (ARCHIVES) – CLICK HERE The Current Affairs questions are based on sources like ‘The Hindu’, ‘Indian Express’ and ‘PIB’, which are very important sources for UPSC Prelims Exam. The questions are focused on both the concepts and facts. …"
2025-10-31T10:00:00Z,Many Women Shoulder an Invisible Stress at Work. One Small Habit at Home Makes a Big Difference.,0,[],Slate Magazine,https://slate.com/advice/2025/10/job-advice-women-invisible-stress-work-habit-home.html,Prudie replies to readers’ comments and suggestions.
2025-10-31T09:21:44Z,Apple & Amazon Buoy Expectations & Xi's Supply Chain Warning | Daybreak Europe 10/31/2025,0,"['Bloomberg Daybreak Europe (ORG)', ""Apple & Amazon Buoy Expectations & Xi's (ORG)"", 'London (GPE)']",Biztoc.com,https://biztoc.com/x/8221a946ff0bb8cc,"Bloomberg Daybreak Europe is your essential morning viewing to stay ahead. Live from London, we set the agenda for your day, ..."
2025-10-31T09:23:00Z,"Electronic Warfare Strategic Intelligence Report 2025: Analysis of Various Solutions, Programs and Projects Currently Under Development, As Well As the Impact of Emerging Technologies",0,['AI (ORG)'],GlobeNewswire,https://www.globenewswire.com/news-release/2025/10/31/3178176/28124/en/Electronic-Warfare-Strategic-Intelligence-Report-2025-Analysis-of-Various-Solutions-Programs-and-Projects-Currently-Under-Development-As-Well-As-the-Impact-of-Emerging-Technologies.html,"The electronic warfare market is booming due to increased global defense investments and technological advancements like AI and machine learning. Opportunities arise from the demand for multi-functional EW products, diversification within supply chains, and t…"
2025-10-31T09:16:09Z,"Lenskart IPO subscribed 67% so far on Day 1, retail demand crosses 1x",0,[],BusinessLine,https://www.thehindubusinessline.com/markets/lenskart-ipo-subscribed-67-so-far-on-day-1-retail-demand-crosses-1x/article70224871.ece,"At 2.15 pm, the qualified institutional buyers portion was subscribed at 0.76 times, non-institutional investors 0.26 times, retail category was booked 1.03 times, and the employee quota at 0.88 times"
2025-10-31T09:07:00Z,"2 Day Virtual Supplier and Contract Manufacturer Management Course: Enhance Your Skills in Effectively Managing Supplier Relationships Throughout Their Lifecycle (Dec 3rd - Dec 4th, 2025)",0,['Contract Manufacturer Management (ORG)'],GlobeNewswire,https://www.globenewswire.com/news-release/2025/10/31/3178158/28124/en/2-Day-Virtual-Supplier-and-Contract-Manufacturer-Management-Course-Enhance-Your-Skills-in-Effectively-Managing-Supplier-Relationships-Throughout-Their-Lifecycle-Dec-3rd-Dec-4th-202.html,"Enhance supplier management skills with this comprehensive course. Learn to manage relationships, perform risk assessments, and develop quality agreements. Engage in practical exercises, create customized scorecards, and gain strategies for supplier performan…"
2025-10-31T09:04:35Z,"Prabowo urges stronger MSMEs, cooperation to build resilient APEC",0,['APEC (ORG)'],Antaranews.com,https://en.antaranews.com/news/389185/prabowo-urges-stronger-msmes-cooperation-to-build-resilient-apec,"President Prabowo Subianto emphasized that the empowerment of micro, small, and medium enterprises (MSMEs) and multilateral cooperation against cross-border ..."
2025-10-31T09:00:00Z,Magna Announces Third Quarter 2025 Results,0,"['Magna Announces (ORG)', 'Ontario (GPE)', 'GLOBE NEWSWIRE (ORG)', 'MGA (ORG)', 'TSX (ORG)', 'Magna International Inc. (ORG)', 'MG (ORG)', 'NYSE (ORG)']",GlobeNewswire,https://www.globenewswire.com/news-release/2025/10/31/3178150/0/en/Magna-Announces-Third-Quarter-2025-Results.html,"AURORA, Ontario, Oct. 31, 2025 (GLOBE NEWSWIRE) -- Magna International Inc. (TSX: MG; NYSE: MGA) today reported financial results for the third quarter ended September 30, 2025."
2025-10-31T09:06:00Z,Why asset visibility matters in industrial cybersecurity,0,[],ComputerWeekly.com,https://www.computerweekly.com/opinion/Why-asset-visibility-matters-in-industrial-cybersecurity,"Industrial organisations face rising operational security cyber threats. Asset visibility is vital for defence — without knowing what’s connected, organisations are risk blind"
2025-10-31T10:06:27Z,"Sridharan, ex-Benetton honcho, set to join as Puma new India CEO",0,"['India (GPE)', 'Decathlon (ORG)']",Livemint,https://www.livemint.com/companies/news/puma-india-ceo-benetton-appointment-sridharan-adidas-skechers-11761890803655.html,"Ramprasad Sridharan will succeed Karthik Balagopalan, who stepped down as managing director earlier this week. Competition in India's sportswear and athleisure market has been heating up as mass retailer Decathlon scales up and premium brands such as Lululemo…"
2025-10-31T09:57:48Z,Accor Wins World Sustainable Travel & Hospitality Award for Supply Chain Decarbonization Program,0,"['the World’s Leading Climate Action Initiative (ORG)', 'Group (ORG)', 'the World Travel Awards (ORG)', 'World Sustainable Travel & Hospitality Awards (ORG)', 'Accor Wins World Sustainable Travel & Hospitality Award for Supply Chain Decarbonization Program Accor (ORG)']",Hospitality Net,https://www.hospitalitynet.org/news/4129581.html,Accor has won the World’s Leading Climate Action Initiative category at the 2025 World Sustainable Travel & Hospitality Awards (WSTHA) for the Group’s high-impact supply chain decarbonization program. Organised by the World Travel Awards in partners...
2025-10-31T09:56:00Z,5 real-world examples of the circular economy,0,[],Techtarget.com,https://www.techtarget.com/sustainability/feature/Real-world-examples-of-the-circular-economy,The circular economy promotes sustainability in IT by extending product life and reducing waste. These examples show how it can cut costs and align with environmental goals.
2025-10-31T09:51:04Z,This Special Dining Experience In Crete Is Set Amongst The Olive Groves,0,['Cretan (GPE)'],Forbes,https://www.forbes.com/sites/rachel-dube/2025/10/31/this-special-dining-experience-in-crete-is-set-amongst-the-olive-groves/,"After establishing Acro Suites as a wellness-driven retreat, Elenoas was created as a way to honor Cretan traditions."
2025-10-31T09:41:20Z,NGOs accuse coffee giants of human rights abuses,0,['Germany (GPE)'],Hurriyet Daily News,https://www.hurriyetdailynews.com/ngos-accuse-coffee-giants-of-human-rights-abuses-215231,Several NGOs have said they had filed a legal complaint in Germany accusing giant coffee companies of sourcing beans from suppliers that exploit workers and violate human rights.
2025-10-31T09:39:42Z,Batch Cannabis Scales to $50 Million,0,"['Meta (ORG)', 'Practical Ecommerce (ORG)']",Practical Ecommerce,https://www.practicalecommerce.com/batch-cannabis-scales-to-50-million,"""Once we dialed in our Meta ads and built a strong creative flywheel, everything took off,"" says co-founder Andy Gould.
The post Batch Cannabis Scales to $50 Million appeared first on Practical Ecommerce."
2025-10-31T09:30:00Z,How Do We Rebuild After Trump?,0,['Trump (ORG)'],The American Prospect,http://prospect.org/2025/10/31/how-do-we-rebuild-after-trump/,"Many Trump critics are focused on what he is doing to our basic democratic compact. But there’s a reason that all the presidents who led us through our worst previous crises also had an aggressive program of reform—including public provision and ownership.
Th…"
2025-10-31T10:00:00Z,"Pixalate’s Q3 2025 North America SSP Market Share Rankings for CTV, Mobile Apps, & Web: Verve No. 1 for Apple App Store in the US (34%), Index Exchange No. 1 on Web in the US (18%), and FreeWheel Leads in Canada on Roku (25%)",0,"['US (GPE)', 'Canada (GPE)', 'Roku (ORG)', 'FreeWheel Leads (ORG)', 'North America SSP Market Share Rankings for (ORG)', 'Pixalate (ORG)']",GlobeNewswire,https://www.globenewswire.com/news-release/2025/10/31/3178195/0/en/Pixalate-s-Q3-2025-North-America-SSP-Market-Share-Rankings-for-CTV-Mobile-Apps-Web-Verve-No-1-for-Apple-App-Store-in-the-US-34-Index-Exchange-No-1-on-Web-in-the-US-18-and-FreeWheel.html,"Pixalate’s Q3 2025 North America SSP Market Share Rankings for CTV, Mobile Apps, & Web......"
2025-10-31T11:13:35Z,Indonesia sets to advance global health through leadership in DCVMN,0,"['Indonesia (GPE)', 'DCVMN (ORG)', 'the Developing Countries (ORG)']",Antaranews.com,https://en.antaranews.com/news/389245/indonesia-sets-to-advance-global-health-through-leadership-in-dcvmn,Indonesia is set to play a pivotal role in advancing global health through its leadership in the Developing Countries Vaccine Manufacturers Network (DCVMN) ...
2025-10-31T07:51:40Z,"As Trump skips APEC, China's Xi fills the void with message on trade",0,"['Trump (ORG)', 'China (GPE)', 'APEC (ORG)', 'U.S. (GPE)']",The Times of India,https://economictimes.indiatimes.com/news/international/world-news/as-trump-skips-apec-chinas-xi-fills-the-void-with-message-on-trade/articleshow/124988484.cms,"China is stepping up as a champion of free trade and multilateral diplomacy. This comes as the U.S. focuses on protectionist policies and bilateral deals. China's leader Xi Jinping is attending regional summits, strengthening economic ties. This shift signals…"
2025-10-31T08:00:00Z,Vite+ Unveiled with Unified Toolchain and Rust Powered Core,0,"['JavaScript (PRODUCT)', 'CLI (ORG)', 'VoidZero (PRODUCT)']",InfoQ.com,https://www.infoq.com/news/2025/10/vite-plus-unveiled/,"Introducing Vite+ by VoidZero: a groundbreaking unified JavaScript toolchain enhancing the Vite ecosystem. With an all-in-one CLI for app scaffolding, testing, linting, and more, Vite+ delivers performance gains of up to 40x and enterprise features, all while…"
2025-10-31T08:00:00Z,How Meta Is Using AI to Standardize and Cut Carbon Emissions,0,"['AI (GPE)', 'Scope 3 (PRODUCT)']",InfoQ.com,https://www.infoq.com/news/2025/10/meta-carbon-ai/,Meta has developed an AI-based approach to improve the quality of Scope 3 emissions estimates across its IT hardware supply chain. The method combines machine learning and generative models to classify hardware components and infer missing product carbon foot…
2025-10-31T08:02:00Z,Eclipse Foundation Revokes Leaked Open VSX Tokens Following Wiz Discovery,0,[],Internet,https://thehackernews.com/2025/10/eclipse-foundation-revokes-leaked-open.html,"Eclipse Foundation, which maintains the open-source Open VSX project, said it has taken steps to revoke a small number of tokens that were leaked within Visual Studio Code (VS Code) extensions published in the marketplace.
The action comes following a report …"
2025-10-31T08:25:06Z,Indonesia pushes ethical AI agenda at 2025 APEC Summit,0,"['Asia-Pacific Economic Cooperation (ORG)', 'Indonesia (GPE)', 'APEC (ORG)']",Antaranews.com,https://en.antaranews.com/news/389165/indonesia-pushes-ethical-ai-agenda-at-2025-apec-summit,Indonesia emphasized the importance of ethical implementation of artificial intelligence (AI) during the 2025 Asia-Pacific Economic Cooperation (APEC) Summit ...
2025-10-31T08:24:53Z,Taiwan plans to raise 2025 growth target as AI boom boosts Q3 figures,0,"['AI (GPE)', 'Q3 (PRODUCT)', 'Taiwan (GPE)']",CNA,https://www.channelnewsasia.com/business/taiwan-plans-raise-2025-growth-target-ai-boom-boosts-q3-figures-5437581,TAIPEI :Taiwan plans to raise its economic growth forecast this year to more than 5 per cent after the economy expanded by a better-than-expected rate in the third quarter given a strong performance by the crucial tech sector thanks to the AI boom.Taiwan's gr…
2025-10-31T08:50:25Z,"Black Friday 2024 Review: Online Shopping Booms, Redefining Consumer Mindset and Marketing Strategy",0,"['FoxData (ORG)', 'Amazon (ORG)']",Foxdata.com,https://foxdata.com/en/blogs/black-friday-2024-review-online-shopping-booms-redefining-consumer-mindset-and-marketing-strategy/,"From Temu to Amazon, FoxData helps you decode the new landscape of the app market and the key growth signals behind Black Friday."
2025-10-31T08:30:00Z,VCI Global Announces $5 Million Registered Direct Offering Priced At-the-Market Under Nasdaq Rules,0,"['VCI Global Limited (ORG)', 'Malaysia (GPE)', 'VCI Global Announces (ORG)', 'GLOBE NEWSWIRE (ORG)']",GlobeNewswire,https://www.globenewswire.com/news-release/2025/10/31/3178145/0/en/VCI-Global-Announces-5-Million-Registered-Direct-Offering-Priced-At-the-Market-Under-Nasdaq-Rules.html,"KUALA LUMPUR, Malaysia, Oct. 31, 2025 (GLOBE NEWSWIRE) -- VCI Global Limited (NASDAQ: VCIG) (“VCI Global” or the “Company”) a leading provider of business and technology consulting services, today announced that it has entered into a definitive agreement with…"
2025-10-31T09:04:41Z,Oslo Innovation Week Showcases Scalable Climate Solutions,0,"['Oslo Innovation Week Showcases Scalable Climate Solutions (ORG)', 'Oslo Innovation Week (ORG)']",Forbes,https://www.forbes.com/sites/amynguyen/2025/10/31/oslo-innovation-week-showcases-scalable-climate-solutions/,"From fermentation technologies to vertical farming and the electrification of tourism, Oslo Innovation Week spotlights the possibilities for scalable climate solutions."
2025-10-31T06:48:06Z,"Toyota Tsusho raises FY profit forecast on supply chain, Africa units",0,"['TOKYO (GPE)', 'FY (GPE)', 'Africa (LOC)', 'Toyota (ORG)', 'Japan (GPE)']",CNA,https://www.channelnewsasia.com/business/toyota-tsusho-raises-fy-profit-forecast-supply-chain-africa-units-5437461,"TOKYO :Japan's Toyota Tsusho on Friday raised its full fiscal year profit forecast by 20 billion yen to 360 billion yen ($2.4 billion) on stronger growth in its supply chain and Africa divisions, and also promised a higher dividend payout.The company, a membe…"
2025-10-31T06:39:00Z,2025WSTDF–Green H₂ Forum Held at Beijing,0,['Beijing (GPE)'],GlobeNewswire,https://www.globenewswire.com/news-release/2025/10/31/3178106/0/en/2025WSTDF-Green-H-Forum-Held-at-Beijing.html,"From October 27 to 29, 2025, the 2025 World Science and Technology Development Forum, themed “AI for Science and Development (AI4SD)”, was held in Beijing."
2025-10-31T06:31:32Z,GRMC’s Rachelle Borja bags American Society for Health Care Engineering award,0,"['GRMC (ORG)', 'the Guam Regional Medical City’s (ORG)', 'the American Society for Health Care Engineering (ORG)', 'American Society for Health Care Engineering (ORG)']",Guampdn.com,https://www.guampdn.com/news/grmc-s-rachelle-borja-bags-american-society-for-health-care-engineering-award/article_7083fb04-a516-4b32-b182-59a0533d03c8.html,"Rachelle Borja, the Guam Regional Medical City’s director of support services, has been selected by the American Society for Health Care Engineering as the 2025 Region 10 Emerging Regional Leader"
2025-10-31T07:00:27Z,Data I/O Corp (DAIO) Q3 2025 Earnings Call Highlights: Strategic Expansion Amid Market Challenges,0,['DAIO (ORG)'],Yahoo Entertainment,https://finance.yahoo.com/news/data-o-corp-daio-q3-070027133.html,Data I/O Corp (DAIO) unveils new products and explores billion-dollar markets while navigating sales declines and global trade pressures.
2025-10-31T07:19:00Z,GE HealthCare (GEHC): Margin Jump to 10.9% Reinforces Bullish Sentiment on Quality of Earnings,0,"['GE HealthCare (ORG)', 'GEHC (ORG)']",Yahoo Entertainment,https://finance.yahoo.com/news/ge-healthcare-gehc-margin-jump-071900357.html,"GE HealthCare Technologies (GEHC) posted a net profit margin of 10.9%, a notable improvement from 8.6% a year ago. This was supported by a 32.3% surge in..."
